sale_id,customer_id,product_id,store_id,promo_id,quantity,unit_price,discount_amount,tax_amount,final_amount,sale_date,payment_method,sale_status
1,1310,4,1,9,2,129999,12999.9,44459.66,291457.76,2024-03-12,EMI,Completed
2,1386,24,15,3,5,28,28.0,20.16,132.16,2024-01-17,UPI,Completed
3,448,8,9,1,5,14999,3749.75,12824.14,84069.39,2024-11-28,EMI,Returned
4,860,8,8,9,1,14999,0.0,2699.82,17698.82,2024-12-23,Net Banking,Completed
5,570,5,4,11,1,29999,0.0,5399.82,35398.82,2024-07-13,UPI,Completed
6,1736,12,10,9,1,8999,2249.75,1214.87,7964.12,2024-10-01,UPI,Completed
7,162,18,5,12,5,24999,6249.75,21374.15,140119.4,2024-12-26,UPI,Completed
8,1355,8,13,10,1,14999,749.95,2564.83,16813.88,2024-02-21,Net Banking,Completed
9,929,21,14,12,2,599,179.7,183.29,1201.59,2024-06-30,Credit Card,Cancelled
10,547,23,15,3,5,449,0.0,404.1,2649.1,2024-09-30,EMI,Completed
11,335,15,7,9,5,7999,1999.75,6839.14,44834.39,2024-12-16,Debit Card,Completed
12,470,2,13,11,4,89999,35999.6,58319.35,382315.75,2024-02-03,Credit Card,Returned
13,1795,23,6,7,4,449,359.2,258.62,1695.42,2024-11-25,Net Banking,Completed
14,543,5,4,9,5,29999,29999.0,21599.28,141595.28,2024-10-25,Net Banking,Completed
15,450,5,9,15,1,29999,0.0,5399.82,35398.82,2024-02-26,Credit Card,Cancelled
16,328,22,7,3,4,299,239.2,172.22,1129.02,2024-11-01,Net Banking,Returned
17,515,18,14,1,1,24999,7499.7,3149.87,20649.17,2024-05-16,EMI,Completed
18,229,10,7,6,4,2999,0.0,2159.28,14155.28,2024-05-14,Cash,Completed
19,1040,4,14,10,5,129999,32499.75,111149.14,728644.39,2024-03-19,Debit Card,Completed
20,1105,25,15,15,1,199,29.85,30.45,199.6,2024-09-07,UPI,Completed
21,1903,12,15,10,2,8999,0.0,3239.64,21237.64,2024-05-03,Cash,Completed
22,176,24,8,3,5,28,0.0,25.2,165.2,2024-03-06,EMI,Completed
23,1940,18,3,9,5,24999,24999.0,17999.28,117995.28,2024-04-18,Cash,Cancelled
24,1413,7,12,10,4,12999,7799.4,7955.39,52151.99,2024-08-12,Cash,Completed
25,248,8,4,3,3,14999,0.0,8099.46,53096.46,2024-10-28,Cash,Completed
26,1206,8,1,3,1,14999,749.95,2564.83,16813.88,2024-02-04,UPI,Completed
27,146,17,4,9,4,8999,1799.8,6155.32,40351.52,2024-10-03,Credit Card,Cancelled
28,1916,19,10,15,2,4999,2499.5,1349.73,8848.23,2024-07-27,Credit Card,Completed
29,199,22,7,12,4,299,239.2,172.22,1129.02,2024-08-27,EMI,Completed
30,1380,21,11,4,1,599,119.8,86.26,565.46,2024-06-22,UPI,Completed
31,393,7,9,15,2,12999,5199.6,3743.71,24542.11,2024-04-03,Debit Card,Completed
32,512,3,8,4,1,114999,34499.7,14489.87,94989.17,2024-01-08,UPI,Completed
33,341,14,8,15,2,3999,1599.6,1151.71,7550.11,2024-01-31,Credit Card,Completed
34,5,13,5,15,3,12999,7799.4,5615.57,36813.17,2024-12-22,EMI,Returned
35,1356,23,8,5,2,449,89.8,145.48,953.68,2024-04-21,UPI,Returned
36,1507,18,1,11,1,24999,0.0,4499.82,29498.82,2024-10-26,Net Banking,Returned
37,1883,17,3,2,5,8999,0.0,8099.1,53094.1,2024-04-05,UPI,Returned
38,140,22,14,8,4,299,0.0,215.28,1411.28,2024-10-18,Credit Card,Returned
39,1218,2,10,3,4,89999,107998.8,45359.5,297356.7,2024-06-10,Debit Card,Completed
40,1372,23,6,8,3,449,269.4,193.97,1271.57,2024-03-08,EMI,Cancelled
41,615,15,6,3,1,7999,1999.75,1079.87,7079.12,2024-11-14,Cash,Completed
42,151,18,4,15,3,24999,0.0,13499.46,88496.46,2024-06-27,UPI,Completed
43,757,10,3,15,5,2999,1499.5,2429.19,15924.69,2024-11-09,EMI,Returned
44,17,22,14,10,1,299,0.0,53.82,352.82,2024-05-15,UPI,Completed
45,1521,18,3,9,3,24999,3749.85,12824.49,84071.64,2024-06-24,Credit Card,Cancelled
46,1299,9,9,15,3,4999,0.0,2699.46,17696.46,2024-02-17,EMI,Completed
47,1699,9,1,1,3,4999,0.0,2699.46,17696.46,2024-11-22,Debit Card,Completed
48,1519,15,9,14,5,7999,0.0,7199.1,47194.1,2024-02-27,UPI,Cancelled
49,1852,5,9,2,3,29999,26999.1,11339.62,74337.52,2024-03-16,Net Banking,Completed
50,86,10,6,2,3,2999,449.85,1538.49,10085.64,2024-12-15,Credit Card,Cancelled
51,211,12,13,14,5,8999,0.0,8099.1,53094.1,2024-05-01,Credit Card,Completed
52,1806,14,1,6,3,3999,2399.4,1727.57,11325.17,2024-12-08,EMI,Completed
53,547,6,13,4,4,15999,0.0,11519.28,75515.28,2024-08-28,Credit Card,Completed
54,1673,15,6,10,2,7999,799.9,2735.66,17933.76,2024-01-13,EMI,Completed
55,817,11,5,3,3,1999,899.55,917.54,6014.99,2024-11-24,Cash,Completed
56,1392,18,6,1,1,24999,2499.9,4049.84,26548.94,2024-04-01,Cash,Completed
